Dakota McClure
John Chevalier
QB Three
Jaron Dowdy
Marvin Moeller
HB Three
Brandon Shaw
FB Two
Markus Bernard
Mark Wax
TE Three
Seth Allen
Percy Wagner
Cayden Bowie
Tom Landolfi
Shawn Murdock
Sal Lawton
Riley Locke
LT Two
Alvin Pickett
Ben Cooper
Donn Alred
C Two
Victor Martinez
Patrick Drake
Cyrus Madsen
RG Two
Foster Rocha
Bruce Dorsi
Tyson Richard
RDT Two
Sherman Owen
LDT Two
Stephen Pratt
LDE Two
Cesar Doctor
Ron-Tom Fallen
Sylvester Fulghum
Grady Forti
Cedrick Kroll
OLB Three
Jeremy Pinedo
Bryan Fields
Keyshawn Swinney
Fishy Robinson
CB Five
CB Six
Jayce Riley
Asa Eason
Leroy Oldham
SS Two
Major Whitaker
Billy Beaver
Jordan Noel
Samuel Lester
QB Three
Gabe Smith
Will Hopper
HB Three
Mark Sears
FB Two
Matty France
Geoffrey Senft
TE Three
Reece Baxter
Vinny Paris-Church
Alex Hunt
Bobby Harding
WR Five
WR Six
Waylon Pixler
LT Two
Pete Boice
LG Two
Teddy Montgomery
C Two
Donnie Medeiros
RT Two
Alton McCall
RG Two
Grayson Larson
RDE Two
Lincoln Farley
RDT Two
Bruce Nance
LDT Two
Al Underwood
LDE Two
Connor Rahn
Tony Wiser
ILB Three
Doug Daniels
Josh Patterson
OLB Three
Harry Cesario
Davy Cutshall
Duane Stine
JaVonn Hepner
CB Five
CB Six
Marcel Worcester
FS Two
Jerome Craig
SS Two
Hans Pimentel
Hershel Dempsey
Aiden Cox
Odis Long
QB Three
Jarrod Hoskins
Jacob Hughes
HB Three
Victor Outlaw
Ricard Blanchette
Kelvin Townsend
Sean Bell
TE Three
Chris Gonzales
Leo Butler
Emmett Pope
DeMarco Sowards
DeSean Hoover
WR Six
Emory Heagney
LT Two
Carter Stillwagon
LG Two
Sergio Garner
Warren Lahip
Knox Blake
Wesley Hamm
Mike Forman
RG Two
Tommy Calfee
RDE Two
Marlin Bates
RDT Two
Adam Anderson
LDT Two
Sid Thomas
LDE Two
Malik Mattison
Austin Leary
ILB Three
Vic Fleming
Duke Brodie
OLB Three
Corey Odom
Michael Sia
Conner McCaleb
Finn Mullins
CB Five
CB Six
Marc Ratliff
Rayshawn Towns
Lance Baldwin
SS Two
Irwin Hargis
Kobe Fletcher
Harver May
Joseph Orr
Blake Sharp
Jamel Robinson
Chuck Vannest
Tino Benson
Keston Sundby
Ozzy Weatherly
David Smothers
Kev McAdam
TE Three
Lawrence Jurs
Alberto Pennington
